Tid;Vannstand(m)
2017-01-11 18:00;     1,378
2017-01-11 19:00;     1,377
2017-01-11 20:00;     1,379
2017-01-11 21:00;     1,376
2017-01-11 22:00;     1,377
2017-01-11 23:00;     1,374
2017-01-12 00:00;     1,374
2017-01-12 01:00;     1,369
2017-01-12 02:00;     1,371
2017-01-12 03:00;     1,373
2017-01-12 04:00;     1,371
2017-01-12 05:00;     1,370
2017-01-12 06:00;     1,372
2017-01-12 07:00;     1,374
2017-01-12 08:00;     1,371
2017-01-12 09:00;     1,370
2017-01-12 10:00;     1,369
2017-01-12 11:00;     1,372
2017-01-12 12:00;     1,367
2017-01-12 13:00;     1,367
2017-01-12 14:00;     1,367
2017-01-12 15:00;     1,363
2017-01-12 16:00;     1,366
2017-01-12 17:00;     1,367
2017-01-12 18:00;     1,364
2017-01-12 19:00;     1,364
2017-01-12 20:00;     1,361
2017-01-12 21:00;     1,362
2017-01-12 22:00;     1,356
2017-01-12 23:00;     1,357
2017-01-13 00:00;     1,356
2017-01-13 01:00;     1,357
2017-01-13 02:00;     1,353
2017-01-13 03:00;     1,353
2017-01-13 04:00;     1,352
2017-01-13 05:00;     1,350
2017-01-13 06:00;     1,348
2017-01-13 07:00;     1,348
2017-01-13 08:00;     1,346
2017-01-13 09:00;     1,346
2017-01-13 10:00;     1,343
2017-01-13 11:00;     1,342
2017-01-13 12:00;     1,339
2017-01-13 13:00;     1,337
2017-01-13 14:00;     1,336
2017-01-13 15:00;     1,335
2017-01-13 16:00;     1,335
2017-01-13 17:00;     1,333
2017-01-13 18:00;     1,331
2017-01-13 19:00;     1,332
2017-01-13 20:00;     1,330
2017-01-13 21:00;     1,328
2017-01-13 22:00;     1,328
2017-01-13 23:00;     1,325
2017-01-14 00:00;     1,324
2017-01-14 01:00;     1,322
2017-01-14 02:00;     1,322
2017-01-14 03:00;     1,322
2017-01-14 04:00;     1,319
2017-01-14 05:00;     1,318
2017-01-14 06:00;     1,318
2017-01-14 07:00;     1,313
2017-01-14 08:00;     1,313
2017-01-14 09:00;     1,311
2017-01-14 10:00;     1,313
2017-01-14 11:00;     1,311
2017-01-14 12:00;     1,307
2017-01-14 13:00;     1,307
2017-01-14 14:00;     1,306
2017-01-14 15:00;     1,302
2017-01-14 16:00;     1,304
2017-01-14 17:00;     1,302
2017-01-14 18:00;     1,300
2017-01-14 19:00;     1,300
2017-01-14 20:00;     1,296
2017-01-14 21:00;     1,297
2017-01-14 22:00;     1,294
2017-01-14 23:00;     1,296
2017-01-15 00:00;     1,292
2017-01-15 01:00;     1,290
2017-01-15 02:00;     1,293
2017-01-15 03:00;     1,289
2017-01-15 04:00;     1,291
2017-01-15 05:00;     1,287
2017-01-15 06:00;     1,289
2017-01-15 07:00;     1,286
2017-01-15 08:00;     1,284
2017-01-15 09:00;     1,283
2017-01-15 10:00;     1,282
2017-01-15 11:00;     1,281
2017-01-15 12:00;     1,279
2017-01-15 13:00;     1,276
2017-01-15 14:00;     1,276
2017-01-15 15:00;     1,276
2017-01-15 16:00;     1,274
2017-01-15 17:00;     1,275
2017-01-15 18:00;     1,272
2017-01-15 19:00;     1,270
2017-01-15 20:00;     1,271
2017-01-15 21:00;     1,272
2017-01-15 22:00;     1,267
2017-01-15 23:00;     1,265
2017-01-16 00:00;     1,270
2017-01-16 01:00;     1,265
2017-01-16 02:00;     1,263
2017-01-16 03:00;     1,260
2017-01-16 04:00;     1,264
2017-01-16 05:00;     1,258
2017-01-16 06:00;     1,258
2017-01-16 07:00;     1,261
2017-01-16 08:00;     1,254
2017-01-16 09:00;     1,257
2017-01-16 10:00;     1,254
2017-01-16 11:00;     1,253
2017-01-16 12:00;     1,252
2017-01-16 13:00;     1,249
2017-01-16 14:00;     1,251
2017-01-16 15:00;     1,251
2017-01-16 16:00;     1,251
2017-01-16 17:00;     1,247
2017-01-16 18:00;     1,247
2017-01-16 19:00;     1,246
2017-01-16 20:00;     1,244
2017-01-16 21:00;     1,247
2017-01-16 22:00;     1,244
2017-01-16 23:00;     1,243
2017-01-17 00:00;     1,242
2017-01-17 01:00;     1,243
2017-01-17 02:00;     1,240
2017-01-17 03:00;     1,240
2017-01-17 04:00;     1,241
2017-01-17 05:00;     1,240
2017-01-17 06:00;     1,239
2017-01-17 07:00;     1,238
2017-01-17 08:00;     1,239
2017-01-17 09:00;     1,240
2017-01-17 10:00;     1,242
2017-01-17 11:00;     1,240
2017-01-17 12:00;     1,238
2017-01-17 13:00;     1,240
2017-01-17 14:00;     1,238
2017-01-17 15:00;     1,238
2017-01-17 16:00;     1,240
2017-01-17 17:00;     1,238
2017-01-17 18:00;     1,239
2017-01-17 19:00;     1,240
2017-01-17 20:00;     1,239
2017-01-17 21:00;     1,237
2017-01-17 22:00;     1,236
2017-01-17 23:00;     1,240
2017-01-18 00:00;     1,240
2017-01-18 01:00;     1,243
2017-01-18 02:00;     1,232
2017-01-18 03:00;     1,233
2017-01-18 04:00;     1,233
2017-01-18 05:00;     1,237
2017-01-18 06:00;     1,237
2017-01-18 07:00;     1,231
2017-01-18 08:00;     1,230
2017-01-18 09:00;     1,230
2017-01-18 10:00;     1,233
2017-01-18 11:00;     1,232
2017-01-18 12:00;     1,235
2017-01-18 13:00;     1,232
2017-01-18 14:00;     1,234
2017-01-18 15:00;     1,235
2017-01-18 16:00;     1,237
2017-01-18 17:00;     1,244
2017-01-18 18:00;     1,251
2017-01-18 19:00;     1,259
2017-01-18 20:00;     1,268
2017-01-18 21:00;     1,272
2017-01-18 22:00;     1,280
2017-01-18 23:00;     1,293
2017-01-19 00:00;     1,303
2017-01-19 01:00;     1,306
2017-01-19 02:00;     1,315
2017-01-19 03:00;     1,325
2017-01-19 04:00;     1,332
2017-01-19 05:00;     1,342
2017-01-19 06:00;     1,349
2017-01-19 07:00;     1,360
2017-01-19 08:00;     1,367
2017-01-19 09:00;     1,376
2017-01-19 10:00;     1,388
2017-01-19 11:00;     1,398
2017-01-19 12:00;     1,417
2017-01-19 13:00;     1,429
2017-01-19 14:00;     1,451
2017-01-19 15:00;     1,471
2017-01-19 16:00;     1,494
2017-01-19 17:00;     1,521
2017-01-19 18:00;     1,546
2017-01-19 19:00;     1,571
2017-01-19 20:00;     1,594
2017-01-19 21:00;     1,620
2017-01-19 22:00;     1,641
2017-01-19 23:00;     1,663
2017-01-20 00:00;     1,679
2017-01-20 01:00;     1,699
2017-01-20 02:00;     1,718
2017-01-20 03:00;     1,736
2017-01-20 04:00;     1,751
2017-01-20 05:00;     1,771
2017-01-20 06:00;     1,788
2017-01-20 07:00;     1,806
2017-01-20 08:00;     1,827
2017-01-20 09:00;     1,848
2017-01-20 10:00;     1,873
2017-01-20 11:00;     1,893
2017-01-20 12:00;     1,910
2017-01-20 13:00;     1,925
2017-01-20 14:00;     1,932
2017-01-20 15:00;     1,939
2017-01-20 16:00;     1,941
2017-01-20 17:00;     1,943
2017-01-20 18:00;     1,941
2017-01-20 19:00;     1,937
2017-01-20 20:00;     1,931
2017-01-20 21:00;     1,921
2017-01-20 22:00;     1,914
2017-01-20 23:00;     1,904
2017-01-21 00:00;     1,896
2017-01-21 01:00;     1,886
2017-01-21 02:00;     1,876
2017-01-21 03:00;     1,865
2017-01-21 04:00;     1,855
2017-01-21 05:00;     1,848
2017-01-21 06:00;     1,837
2017-01-21 07:00;     1,830
2017-01-21 08:00;     1,819
2017-01-21 09:00;     1,811
2017-01-21 10:00;     1,800
2017-01-21 11:00;     1,793
2017-01-21 12:00;     1,784
2017-01-21 13:00;     1,774
2017-01-21 14:00;     1,764
2017-01-21 15:00;     1,755
2017-01-21 16:00;     1,745
2017-01-21 17:00;     1,737
2017-01-21 18:00;     1,728
2017-01-21 19:00;     1,719
2017-01-21 20:00;     1,711
2017-01-21 21:00;     1,703
2017-01-21 22:00;     1,693
2017-01-21 23:00;     1,686
2017-01-22 00:00;     1,678
2017-01-22 01:00;     1,670
2017-01-22 02:00;     1,662
2017-01-22 03:00;     1,657
2017-01-22 04:00;     1,647
2017-01-22 05:00;     1,641
2017-01-22 06:00;     1,635
2017-01-22 07:00;     1,628
2017-01-22 08:00;     1,622
2017-01-22 09:00;     1,616
2017-01-22 10:00;     1,609
2017-01-22 11:00;     1,604
2017-01-22 12:00;     1,598
2017-01-22 13:00;     1,593
2017-01-22 14:00;     1,588
2017-01-22 15:00;     1,581
2017-01-22 16:00;     1,577
2017-01-22 17:00;     1,573
2017-01-22 18:00;     1,567
2017-01-22 19:00;     1,561
2017-01-22 20:00;     1,558
2017-01-22 21:00;     1,553
2017-01-22 22:00;     1,547
2017-01-22 23:00;     1,544
2017-01-23 00:00;     1,540
2017-01-23 01:00;     1,535
2017-01-23 02:00;     1,531
2017-01-23 03:00;     1,526
2017-01-23 04:00;     1,524
2017-01-23 05:00;     1,519
2017-01-23 06:00;     1,518
2017-01-23 07:00;     1,515
2017-01-23 08:00;     1,511
2017-01-23 09:00;     1,507
2017-01-23 10:00;     1,506
2017-01-23 11:00;     1,500
2017-01-23 12:00;     1,499
2017-01-23 13:00;     1,495
2017-01-23 14:00;     1,492
2017-01-23 15:00;     1,490
